GROSS_LOAD,BURNER_POSITION,X_CORD,Y_CORD,Z_CORD,VELOCITY_SIN_BETA,LOC_IDENTIFIER
230,2356,0,0,70.9,0,B1_RH1_H0_C1_T1_LOC1
170,2356,0,0.288399995,70.9,0.288399995,B1_RH1_H0_C1_T1_LOC1
170,2356,0,0.57679999,70.9,0.57679999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,0.86519998,70.9,0.86519998,B1_RH1_H0_C1_T1_LOC1
170,2356,0,1.1536,70.9,1.1536,B1_RH1_H0_C1_T1_LOC1
170,2356,0,1.4419999,70.9,1.4419999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,1.7304,70.9,1.7304,B1_RH1_H0_C1_T1_LOC1
170,2356,0,2.0188,70.9,2.0188,B1_RH1_H0_C1_T1_LOC1
170,2356,0,2.3072,70.9,2.3072,B1_RH1_H0_C1_T1_LOC1
170,2356,0,2.5955999,70.9,2.5955999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,2.8839998,70.9,2.8839998,B1_RH1_H0_C1_T1_LOC1
170,2356,0,3.1724,70.9,3.1724,B1_RH1_H0_C1_T1_LOC1
170,2356,0,3.4607999,70.9,3.4607999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,3.7491999,70.9,3.7491999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,4.0376,70.9,4.0376,B1_RH1_H0_C1_T1_LOC1
170,2356,0,4.3259997,70.9,4.3259997,B1_RH1_H0_C1_T1_LOC1
170,2356,0,4.6143999,70.9,4.6143999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,4.9028001,70.9,4.9028001,B1_RH1_H0_C1_T1_LOC1
170,2356,0,5.1911998,70.9,5.1911998,B1_RH1_H0_C1_T1_LOC1
170,2356,0,5.4796,70.9,5.4796,B1_RH1_H0_C1_T1_LOC1
170,2356,0,5.7679996,70.9,5.7679996,B1_RH1_H0_C1_T1_LOC1
170,2356,0,6.0563998,70.9,6.0563998,B1_RH1_H0_C1_T1_LOC1
170,2356,0,6.3448,70.9,6.3448,B1_RH1_H0_C1_T1_LOC1
170,2356,0,6.6331997,70.9,6.6331997,B1_RH1_H0_C1_T1_LOC1
170,2356,0,6.9215999,70.9,6.9215999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,7.21,70.9,7.21,B1_RH1_H0_C1_T1_LOC1
170,2356,0,7.4983997,70.9,7.4983997,B1_RH1_H0_C1_T1_LOC1
170,2356,0,7.7867999,70.9,7.7867999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,8.0752001,70.9,8.0752001,B1_RH1_H0_C1_T1_LOC1
170,2356,0,8.3635998,70.9,8.3635998,B1_RH1_H0_C1_T1_LOC1
170,2356,0,8.6519995,70.9,8.6519995,B1_RH1_H0_C1_T1_LOC1
170,2356,0,8.9404001,70.9,8.9404001,B1_RH1_H0_C1_T1_LOC1
170,2356,0,9.2287998,70.9,9.2287998,B1_RH1_H0_C1_T1_LOC1
170,2356,0,9.5171995,70.9,9.5171995,B1_RH1_H0_C1_T1_LOC1
170,2356,0,9.8056002,70.9,9.8056002,B1_RH1_H0_C1_T1_LOC1
170,2356,0,10.094,70.9,10.094,B1_RH1_H0_C1_T1_LOC1
170,2356,0,10.3824,70.9,10.3824,B1_RH1_H0_C1_T1_LOC1
170,2356,0,10.6708,70.9,10.6708,B1_RH1_H0_C1_T1_LOC1
170,2356,0,10.9592,70.9,10.9592,B1_RH1_H0_C1_T1_LOC1
170,2356,0,11.2476,70.9,11.2476,B1_RH1_H0_C1_T1_LOC1
170,2356,0,11.535999,70.9,11.535999,B1_RH1_H0_C1_T1_LOC1
170,2356,0,11.8244,70.9,11.8244,B1_RH1_H0_C1_T1_LOC1
170,2356,0,12.1128,70.9,12.1128,B1_RH1_H0_C1_T1_LOC1
170,2356,0,12.401199,70.9,12.401199,B1_RH1_H0_C1_T1_LOC1
170,2356,0,12.6896,70.9,12.6896,B1_RH1_H0_C1_T1_LOC1
170,2356,0,12.978,70.9,12.978,B1_RH1_H0_C1_T1_LOC1
170,2356,0,13.266399,70.9,13.266399,B1_RH1_H0_C1_T1_LOC1
170,2356,0,13.5548,70.9,13.5548,B1_RH1_H0_C1_T1_LOC1
170,2356,0,13.8432,70.9,13.8432,B1_RH1_H0_C1_T1_LOC1
170,2356,0,14.4,70.9,14.4,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,0,70.9,0.288399995,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,0.288399995,70.9,7.7882047,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,0.57679999,70.9,7.5157704,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,0.86519998,70.9,6.7110453,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,1.1536,70.9,7.5538158,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,1.4419999,70.9,6.8540277,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,1.7304,70.9,6.8967481,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,2.0188,70.9,7.4876685,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,2.3072,70.9,7.4588361,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,2.5955999,70.9,7.3726687,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,2.8839998,70.9,6.9666266,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,3.1724,70.9,7.262917,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,3.4607999,70.9,7.5021715,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,3.7491999,70.9,9.143117,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,4.0376,70.9,9.0991726,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,4.3259997,70.9,9.1255035,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,4.6143999,70.9,8.6384974,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,4.9028001,70.9,8.1757593,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,5.1911998,70.9,8.406064,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,5.4796,70.9,9.2904825,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,5.7679996,70.9,9.2629032,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,6.0563998,70.9,8.8217382,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,6.3448,70.9,8.8027391,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,6.6331997,70.9,8.4655561,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,6.9215999,70.9,8.4606037,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,7.21,70.9,7.9858336,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,7.4983997,70.9,8.8778334,B1_RH1_H0_C1_T1_LOC1
